name,result,run_time,population_size_per_genetic_algorithm,epoch_threshold,crossover_probability,mutation_probability,number_of_depots,number_of_customers
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,1546.0112947032999,1.301518201828003,10,25,0.2,0.01,1,37
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,1561.0779181401767,1.156904935836792,10,25,0.2,0.01,1,37
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,1511.421963998612,1.2267184257507324,10,25,0.2,0.01,1,37
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,1553.739680304466,1.1868247985839844,10,25,0.2,0.01,1,37
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,1550.689497057893,3.7110724449157715,10,25,0.2,0.01,1,37
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1549.6442165409785,1.5408496856689453,10,25,0.2,0.01,1,37
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1187.368465909823,9.001917600631714,10,25,0.2,0.01,1,37
AVERAGE_FOR_ALGORITHMS,1494.2790052364642,2.7322580133165633,10,25,0.2,0.01,1,37
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,1687.684325136845,1.032238483428955,10,25,0.2,0.1,1,37
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,1603.5438516857448,1.9059009552001953,10,25,0.2,0.1,1,37
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,1584.2144100367882,1.325484275817871,10,25,0.2,0.1,1,37
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,1540.9597465407533,1.6256203651428223,10,25,0.2,0.1,1,37
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,1535.4849995923853,3.071782112121582,10,25,0.2,0.1,1,37
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1524.2019852923036,2.550177574157715,10,25,0.2,0.1,1,37
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1438.8684261005349,10.442092657089233,10,25,0.2,0.1,1,37
AVERAGE_FOR_ALGORITHMS,1559.2796777693363,3.136185203279768,10,25,0.2,0.1,1,37
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,1550.8549173585134,1.6106629371643066,10,25,0.2,0.25,1,37
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,1526.8265060361728,2.1003808975219727,10,25,0.2,0.25,1,37
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,1493.7539363067356,2.394592761993408,10,25,0.2,0.25,1,37
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,1598.3703384508058,1.045175313949585,10,25,0.2,0.25,1,37
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,1531.2233210844781,2.1562318801879883,10,25,0.2,0.25,1,37
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1555.7598423048453,3.014906167984009,10,25,0.2,0.25,1,37
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1178.8389243268402,9.724982976913452,10,25,0.2,0.25,1,37
AVERAGE_FOR_ALGORITHMS,1490.80396940977,3.1495618479592458,10,25,0.2,0.25,1,37
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,1584.9988462030951,2.000619649887085,10,25,0.2,0.5,1,37
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,1544.80417270718,3.8925859928131104,10,25,0.2,0.5,1,37
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,1560.528165784577,1.390308141708374,10,25,0.2,0.5,1,37
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,1449.181633874542,1.6765151023864746,10,25,0.2,0.5,1,37
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,1571.1013372698806,1.234696865081787,10,25,0.2,0.5,1,37
